RunAccession,SampleAccession,DatasetAccession,LibraryStrategy,DatasetReadable,PairedEnd,Source,Endedness
INH021702,INH021700,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH021703,INH021700,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH021704,INH021700,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH021801,INH021800,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH021802,INH021800,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH021803,INH021800,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH021901,INH021900,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH021902,INH021900,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH021903,INH021900,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH021904,INH021900,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022001,INH022000,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022002,INH022000,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022003,INH022000,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022101,INH022100,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022102,INH022100,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022103,INH022100,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022201,INH022200,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022202,INH022200,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022203,INH022200,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022301,INH022300,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022302,INH022300,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022303,INH022300,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022304,INH022300,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022401,INH022400,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022402,INH022400,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022403,INH022400,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
